,Name,gini
338,LORDSHIVA,0.408
339,VICEPEPE,0.666
340,HULKPEPE,0.378
341,PEPELYNMASON,0.433
342,PEPEBIRTH,0.349
343,DORAETROLL,0.306
344,WIREDPEPE,0.473
345,PEPEMEETUPBK,0.83
346,POWERTOPEPE,0.69
347,PEPECAPCHA,0.882
348,NOBRAKESPEPE,0.884
349,PEPEFIFTYONE,0.739
350,RAREIVANKA,0.642
351,PEPEOUTSIDE,0.828
352,LEGOPEPE,0.91
353,BADHAIRDAY,0.772
354,COLDPEPE,0.192
355,PEPEJOBS,0.379
356,RAGZTOPEPE,0.468
357,KARTANDPEPE,0.656
358,PEPESCAVHUNT,0.496
359,PAPILLON,0.326
360,PEPONG,0.504
361,USMCPEPE,0.638
362,GRAFFITIPEPE,0.772
363,SHREKPEPE,0.677
364,LORDOFMEMES,0.677
365,XPEPE,0.276
366,PEPEISLOVE,0.673
367,PEPEISPEACE,0.587
368,PEPERGRIFFIN,0.296
369,IRONPEPE,0.347
370,DOSPEPES,0.645
371,PEPEPIRATE,0.817
372,IWANTTOPEPE,0.855
373,CROPPEPE,0.745
374,GOTHICPEPE,0.755
375,MIRACLEPEPE,0.816
376,PEPETHAGORAS,0.876
377,PEPEBRANDO,0.847
378,PYTHONPEPE,0.823
379,NINJAPEPES,0.625
380,MONOPEPEOLY,0.787
381,GODDESSHEQET,0.0
382,SALVADORPEPE,0.343
383,PLATINUMPEPE,0.68
384,STARLORDKEK,0.781
385,PEPEKARLMARX,0.751
386,PEPEFLATION,0.487
387,CRYSTALPEPE,0.625
388,SHIALEBPEPE,0.324
389,PEPEOLDCHAP,0.366
390,PEPITCHY,0.465
391,FINNTHEPEPE,0.581
392,PEPEHEPBURN,0.761
393,PEPEFLESH,0.715
394,LORDGLEN,0.422
395,IRONMANPEPE,0.396
396,MEMETICMAGIC,0.682
397,TEAPEPE,0.574
398,MARTYPEPFLY,0.715
399,PEPEMORPHS,0.768
400,KEKSBASILISK,0.824
401,PEPEBREAKUP,0.814
402,PEPEWOKE,0.692
403,PEPEMACARONI,0.714
404,PEPEGLOVER,0.789
405,JINQIANSHU,0.669
406,NAPALMPEPE,0.706
407,TWEEKPEPE,0.787
408,PEPECOLLECT,0.828
409,CUBANPEPE,0.761
410,PEPEPUNCHOUT,0.814
411,GODDESSISIS,0.0
412,PEPENORMIES,0.491
413,NEEDPEPE,0.722
414,PEPEVIRAL,0.474
415,JUSTINTPEPE,0.791
416,PEPESTONED,0.69
417,PEPENAPOLEON,0.778
418,DEEZPEPENUTS,0.659
419,PEPEOTHERARM,0.773
420,PEPEIMPOSTOR,0.695
421,PEPEVICH,0.556
422,PEPERAMBO,0.788
423,PEPEMOVIE,0.54
424,FUTURESPEPE,0.614
425,BOGDAPEPE,0.73
426,THEPEPEWHALE,0.491
427,TUBBIES,0.651
428,MFPEPE,0.498
429,CPTMRICAPEPE,0.36
430,KEKPEPE,0.667
431,NEONFROGS,0.682
432,PEPEDAVID,0.732
433,FORBIDENPEPE,0.795
434,STATUEOFPEPE,0.707
435,GAIUSPEPEUS,0.647
436,PEPERAZZIS,0.831
437,PEPEPYRAMID,0.767
438,PEPEWAVE,0.752
439,PEPELOOP,0.813
440,PPPGLOBAL,0.839
441,GODAMUNRA,0.0
442,GODANUBIS,0.167
443,LEGENDOFPEPE,0.749
444,RAREKEKUIT,0.696
445,PEPEILLUSION,0.538
446,GEISHAPEPE,0.776
447,FLUFFYPEPES,0.463
448,PEPEGAMBIT,0.795
449,PEPEWANTSYOU,0.684
450,DOUBLEPEPE,0.508
451,PEPEPAMPERS,0.637
452,SMUGPEPE,0.514
453,PEPEWATTS,0.764
454,ZOETROPEPE,0.741
455,PEPEANDFEELS,0.375
456,MCPEPEDEBUFF,0.5
457,GAUDISPEPE,0.742
458,PEPECLUB,0.616
459,KEYBOARDPEPE,0.827
460,MYPEPELITTLE,0.462
461,PEPEBERLUSCA,0.741
462,PEPEGOLUM,0.547
463,PEPEDIEPIE,0.728
464,PEPELANDER,0.812
465,THREEDPEPE,0.736
466,GRANDPEPE,0.724
467,PEPEART,0.741
468,PEPECREAM,0.849
469,KOIPEPE,0.685
470,PEPEBRICKJR,0.727
471,PEPERBOY,0.841
472,RAREWOLFPEPE,0.833
473,CANTDRAWPEPE,0.464
474,MRPOTATOPEPE,0.458
475,BOFPEPE,0.536
476,ZENAFPEPE,0.492
477,KNITTEDPEPE,0.501
478,PEPEGODDESS,0.745
479,PEPESUPREME,0.475
480,PEPEPILLOW,0.783
481,PEPEKIDSART,0.432
482,ILLIDANPEPE,0.625
483,BANDAGEDPEPE,0.75
484,PEPEMAORI,0.673
485,PEPESKELETON,0.684
486,OWLPEPE,0.636
487,TWOPLYPEPE,0.798
488,PEPESHELDON,0.699
489,WESTERNPEPE,0.774
490,PEPEPOOL,0.482
491,GRANDPEPES,0.727
492,MADMAXPEPE,0.698
493,PEPESCHEME,0.572
494,BEHAPPYPEPE,0.438
495,PEPEGOTSWAG,0.724
496,SOLODADPEPE,0.835
497,SEAPEPE,0.682
498,GREEDYPEPES,0.745
499,DOGEVSPEPE,0.719
500,VEGGIEPEPE,0.749
501,PUZZLEPEPE,0.875
502,RARESLIMPEPE,0.786
503,GENIEPEPE,0.588
504,PISFORPEPE,0.882
505,PEPEBASQUIAT,0.671
506,THINKINGPEPE,0.844
507,PEPERREVENGE,0.777
508,PEPENOSAURUS,0.841
509,PEPERANGER,0.566
510,PEPERIVETER,0.807
511,MOONWAVEPEPE,0.595
512,FIGHTPEPE,0.701
513,MODERNPEPE,0.648
514,RUNTHEPEPE,0.655
515,PEPEHOFFMAN,0.335
516,THEPEPEKISS,0.707
517,KAPPAPEPE,0.702
518,PEPEDHARMA,0.766
519,PEPEDWARD,0.519
520,TRINITYPEPE,0.561
521,BENDERPEPE,0.421
522,PEPEROYAL,0.528
523,HEKET,0.72
524,PEPEUNIVERSE,0.537
525,SEGWITPEPE,0.738
526,WARRIORPEPE,0.686
527,BULBAPEPECRD,0.839
528,FRENCHPEPE,0.717
529,BILLNTEDPEPE,0.804
530,ROBOTPEPE,0.846
531,FULLMETALPEP,0.657
532,NMPPEPE,0.794
533,PEPEKEEPER,0.733
534,LEDZEPEPELIN,0.656
535,PEPESTYLE,0.553
536,PEPEFREQ,0.862
537,BBAEPEPE,0.714
538,ULTIMATEPEPE,0.79
539,THEVERYPEPE,0.857
540,PEPEHARDTALK,0.851
541,LEIAPEPE,0.766
542,LUPEPEN,0.387
543,SPIRITPEPE,0.546
544,PEPEVOLUTION,0.368
545,PUREPEPE,0.38
546,HIPPIEPEPE,0.332
547,PEPEMARKET,0.393
548,PEPERUSSIAN,0.451
549,PEPEGAIA,0.756
550,PEPEACE,0.753
551,LIBERPEPE,0.648
552,CRUSADERPEPE,0.728
553,MELANCHOLIA,0.52
554,PEPEAMCANI,0.842
555,PEPETERROR,0.753
556,OBEYPEPE,0.731
557,PEPEMINO,0.664
558,PEPEKYRIE,0.81
559,PEPEDZILLA,0.817
560,BADASSPEPE,0.588
561,MERKLETREEPE,0.717
562,WITCHBLADE,0.799
563,KEKTOPUS,0.684
564,DRDIRTYPEPE,0.873
565,SEGWTPEPE,0.819
566,ERDOPEPEGAN,0.75
567,PEPECHAININ,0.843
568,PEPEBEARD,0.89
569,PEPEHIGHTOWR,0.49
570,MNTNDWRVSMNG,0.0
571,PEPEBROKEBU,0.0
572,PEPEBEARWHLE,0.0
573,VSTRSSLBRTCH,0.0
574,TWNOFEVNGLST,0.0
575,PEPEASYSQUEZ,0.0
576,PIMENTOLOAF,0.744
577,BLKCHNJESUS,0.835
578,CHUNRIPEPE,0.887
579,GODALIEN,0.0
580,ERISPEPE,0.687
581,JIHANWU,0.509
582,PEPENOFF,0.793
583,PEPELAMA,0.459
584,PEPECANCAN,0.651
585,PEPEHONDO,0.583
586,PEPENIETZSCH,0.747
587,STACYPEPE,0.402
588,PEPEJOANARC,0.779
589,NEUROPEPE,0.401
590,PEPECONCERT,0.722
591,RANDOMPEPE,0.7
592,PEPEKEK,0.773
593,CANNONPEPE,0.423
