,Price_Level,Date_Index
373,192.15878649,2021-06
374,249.2334466225,2021-07
375,613.3622,2021-08
376,420.05,2021-09
377,271.0,2021-10
378,268.28999999999996,2021-11
379,243.9,2021-12
380,449.86903333333333,2022-01
381,539.29,2022-02
382,271.0,2022-03
383,189.7,2022-04
384,189.7,2022-05
385,0.0,2016-01
386,0.0,2016-02
387,0.0,2016-03
388,0.0,2016-04
389,0.0,2016-05
390,0.0,2016-06
391,0.0,2016-07
392,0.0,2016-08
393,0.0,2016-09
394,6.910499999999999,2016-10
395,6.910499999999999,2016-11
396,9.82375,2016-12
397,21.68,2017-01
398,21.68,2017-02
399,21.68,2017-03
400,21.68,2017-04
401,21.68,2017-05
402,268.29,2017-06
403,271.0,2017-07
404,271.0,2017-08
405,271.0,2017-09
406,271.0,2017-10
407,271.0,2017-11
408,271.0,2017-12
409,271.0,2018-01
410,271.0,2018-02
411,271.0,2018-03
412,271.0,2018-04
413,271.0,2018-05
414,271.0,2018-06
415,271.0,2018-07
416,271.0,2018-08
417,271.0,2018-09
418,271.0,2018-10
419,271.0,2018-11
420,271.0,2018-12
421,271.0,2019-01
422,271.0,2019-02
423,271.0,2019-03
424,271.0,2019-04
425,271.0,2019-05
426,271.0,2019-06
427,271.0,2019-07
428,271.0,2019-08
429,271.0,2019-09
430,271.0,2019-10
431,271.0,2019-11
432,271.0,2019-12
433,271.0,2020-01
434,271.0,2020-02
435,271.0,2020-03
436,271.0,2020-04
437,271.0,2020-05
438,271.0,2020-06
439,271.0,2020-07
440,271.0,2020-08
441,271.0,2020-09
442,271.0,2020-10
443,271.0,2020-11
444,271.0,2020-12
445,271.0,2021-01
446,271.0,2021-02
447,271.0,2021-03
448,271.0,2021-04
449,271.0,2021-05
450,271.0,2021-06
451,3202.65,2021-07
452,3202.65,2021-08
453,3202.65,2021-09
454,3202.65,2021-10
455,3202.65,2021-11
456,3202.65,2021-12
457,3202.65,2022-01
458,13550.0,2022-02
459,13550.0,2022-03
460,13550.0,2022-04
461,13550.0,2022-05
462,0.0,2016-01
463,0.0,2016-02
464,0.0,2016-03
465,0.0,2016-04
466,0.0,2016-05
467,0.0,2016-06
468,0.0,2016-07
469,0.0,2016-08
470,0.0,2016-09
471,0.0,2016-10
472,0.0,2016-11
473,0.0,2016-12
474,0.0,2017-01
475,0.0,2017-02
476,0.0,2017-03
477,0.0,2017-04
478,0.0,2017-05
479,0.0,2017-06
480,0.0,2017-07
481,0.0,2017-08
482,0.0,2017-09
483,0.0,2017-10
484,0.0,2017-11
485,0.0,2017-12
486,0.0,2018-01
487,4.065,2018-02
488,4.065,2018-03
489,4.065,2018-04
490,4.065,2018-05
491,4.065,2018-06
492,4.065,2018-07
493,4.065,2018-08
494,4.065,2018-09
495,4.065,2018-10
496,4.065,2018-11
497,4.065,2018-12
498,4.065,2019-01
499,4.065,2019-02
500,4.065,2019-03
501,4.065,2019-04
502,4.065,2019-05
503,4.065,2019-06
504,4.065,2019-07
505,4.065,2019-08
506,4.065,2019-09
507,4.065,2019-10
508,4.065,2019-11
509,4.065,2019-12
510,4.065,2020-01
511,4.065,2020-02
512,4.065,2020-03
513,4.065,2020-04
514,4.065,2020-05
515,4.065,2020-06
516,4.065,2020-07
517,4.065,2020-08
518,4.065,2020-09
519,4.065,2020-10
520,4.065,2020-11
521,4.065,2020-12
522,4.065,2021-01
