,Name,x,points
86,,0.4,0.12371134020618557
87,,0.6,0.18556701030927836
88,,0.8,0.24742268041237114
89,,1.0,1.0
90,,0.0,0.0
91,,0.2,0.12244897959183673
92,,0.4,0.24489795918367346
93,,0.6,0.3673469387755102
94,,0.8,0.4897959183673469
95,,1.0,1.0
96,,0.0,0.0
97,,0.2,0.08
98,,0.4,0.16
99,,0.6,0.24
100,,0.8,0.32
101,,1.0,1.0
102,,0.0,0.0
103,,0.2,0.07291666666666667
104,,0.4,0.14583333333333334
105,,0.6,0.21875
106,,0.8,0.2916666666666667
107,,1.0,1.0
108,,0.0,0.0
109,,0.2,0.11224489795918367
110,,0.4,0.22448979591836735
111,,0.6,0.336734693877551
112,,0.8,0.46938775510204084
113,,1.0,1.0
114,,0.0,0.0
115,,0.2,0.11458333333333333
116,,0.4,0.22916666666666666
117,,0.6,0.34375
118,,0.8,0.4583333333333333
119,,1.0,1.0
120,,0.0,0.0
121,,0.2,0.05
122,,0.4,0.1
123,,0.6,0.15
124,,0.8,0.22
125,,1.0,1.0
126,,0.0,0.0
127,,0.2,0.09
128,,0.4,0.18
129,,0.6,0.27
130,,0.8,0.36
131,,1.0,1.0
132,,0.0,0.0
133,,0.2,0.09183673469387756
134,,0.4,0.1836734693877551
135,,0.6,0.2755102040816326
136,,0.8,0.3673469387755102
137,,1.0,1.0
138,,0.0,0.0
139,,0.2,0.14432989690721648
140,,0.4,0.28865979381443296
141,,0.6,0.4329896907216495
142,,0.8,0.5773195876288659
143,,1.0,1.0
144,,0.0,0.0
145,,0.2,0.10638297872340426
146,,0.4,0.2127659574468085
147,,0.6,0.3191489361702128
148,,0.8,0.5
149,,1.0,1.0
150,,0.0,0.0
151,,0.2,0.07
152,,0.4,0.14
153,,0.6,0.21
154,,0.8,0.32
155,,1.0,1.0
156,,0.0,0.0
157,,0.2,0.05102040816326531
158,,0.4,0.10204081632653061
159,,0.6,0.15306122448979592
160,,0.8,0.20408163265306123
161,,1.0,1.0
162,,0.0,0.0
163,,0.2,0.14285714285714285
164,,0.4,0.2857142857142857
165,,0.6,0.42857142857142855
166,,0.8,0.5816326530612245
167,,1.0,1.0
168,,0.0,0.0
169,,0.2,0.1326530612244898
170,,0.4,0.2653061224489796
171,,0.6,0.3979591836734694
172,,0.8,0.5714285714285714
173,,1.0,1.0
174,,0.0,0.0
175,,0.2,0.18518518518518517
176,,0.4,0.37037037037037035
177,,0.6,0.5555555555555556
178,,0.8,0.7407407407407407
179,,1.0,1.0
180,,0.0,0.0
181,,0.2,0.18181818181818182
