Name,Type,Date,Date_Index,Supply,Price in USD,Quantity,Gini,Top_3,Top_5,Top_10,Series
DAPPERPEPE,get,2022-03-02 05:09:13,2022-03,100.0,198.72,1.0,0.349,0.19,0.28,0.45,6.0
JALAPEPE,get,2022-03-01 11:44:53,2022-03,100.0,138.0,1.0,0.369,0.29,0.37,0.5,3.0
JALAPEPE,get,2022-03-01 10:46:18,2022-03,100.0,138.0,1.0,0.373,0.3,0.38,0.51,3.0
JALAPEPE,get,2022-03-01 10:26:37,2022-03,100.0,138.0,1.0,0.375,0.31,0.39,0.51,3.0
PEPEPEANUTS,get,2022-03-01 10:12:30,2022-03,100.0,207.0,1.0,0.494,0.4,0.53,0.7,5.0
THEARCHIPEPE,get,2022-03-01 10:12:30,2022-03,100.0,273.23999999999995,1.0,0.428,0.45,0.53,0.65,2.0
PAPILLON,get,2022-03-01 07:06:23,2022-03,100.0,1377.2399999999998,1.0,0.339,0.31,0.39,0.53,12.0
PEPEKEN,get,2022-03-01 06:59:46,2022-03,100.0,234.6,1.0,0.454,0.35,0.45,0.59,5.0
WEAREALLPEPE,get,2022-03-01 01:43:21,2022-03,100.0,1614.6,1.0,0.3,0.23,0.33,0.46,2.0
CREMAPEPE,give,2022-03-01 01:18:11,2022-03,100.0,30.636,1.0,0.542,0.59,0.67,0.76,26.0
PAWNTHELAMBO,give,2022-03-01 00:35:52,2022-03,100.0,115.92,1.0,0.524,0.55,0.61,0.73,27.0
PEPCASSO,get,2022-02-28 23:57:49,2022-02,100.0,1377.2399999999998,1.0,0.332,0.29,0.4,0.51,35.0
SALTANDPEPE,give,2022-02-28 23:10:11,2022-02,100.0,41.4,1.0,0.635,0.68,0.74,0.79,3.0
PEPEMOVIE,give,2022-02-28 21:34:09,2022-02,100.0,187.68,1.0,0.498,0.48,0.58,0.68,14.0
WEAREALLPEPE,give,2022-02-28 18:31:56,2022-02,100.0,1070.88,1.0,0.301,0.24,0.34,0.46,2.0
GAINSPEPE,give,2022-02-28 14:31:27,2022-02,100.0,5.52,1.0,0.671,0.71,0.75,0.84,7.0
RELATEPEPE,get,2022-02-28 11:23:41,2022-02,100.0,151.79999999999998,1.0,0.369,0.29,0.38,0.5,8.0
PEPESPINNER,get,2022-02-28 10:29:27,2022-02,100.0,248.4,1.0,0.515,0.4,0.55,0.73,24.0
PEPCASSO,get,2022-02-28 06:11:53,2022-02,100.0,2760.0,1.0,0.338,0.29,0.4,0.51,35.0
WEAREALLPEPE,get,2022-02-27 19:29:50,2022-02,100.0,1159.1999999999998,1.0,0.304,0.23,0.33,0.45,2.0
PEPEASSANGE,get,2022-02-27 18:20:35,2022-02,100.0,483.0,1.0,0.513,0.5,0.59,0.71,6.0
PEPESSANGE,get,2022-02-27 17:26:30,2022-02,100.0,510.6,1.0,0.59,0.33,0.49,0.7,6.0
PEPEPEANUTS,get,2022-02-27 17:01:41,2022-02,100.0,276.0,1.0,0.495,0.4,0.54,0.7,5.0
GODEMPEPE,get,2022-02-27 13:25:11,2022-02,100.0,690.0,1.0,0.61,0.64,0.69,0.79,5.0
PEPESSANGE,get,2022-02-27 13:18:30,2022-02,100.0,414.0,1.0,0.597,0.34,0.5,0.71,6.0
THEARCHIPEPE,get,2022-02-27 12:16:40,2022-02,100.0,621.0,1.0,0.428,0.45,0.53,0.65,2.0
PEPEASSANGE,get,2022-02-27 12:16:40,2022-02,100.0,414.0,1.0,0.526,0.51,0.6,0.72,6.0
FIREASSPEPE,get,2022-02-27 10:36:23,2022-02,50.0,869.4,1.0,0.233,0.24,0.32,0.48,6.0
MISSTURNPEPE,get,2022-02-27 09:46:51,2022-02,100.0,220.8,1.0,0.648,0.69,0.75,0.85,4.0
PEPESPINNER,give,2022-02-27 08:16:09,2022-02,100.0,138.0,1.0,0.512,0.4,0.55,0.73,24.0
PEPESPINNER,give,2022-02-27 08:16:09,2022-02,100.0,116.11044,1.0,0.514,0.4,0.55,0.73,24.0
HELOPEPE,get,2022-02-27 07:46:44,2022-02,100.0,345.0,1.0,0.601,0.56,0.67,0.77,5.0
PEPEKEN,give,2022-02-27 07:28:44,2022-02,100.0,277.38,1.0,0.461,0.36,0.46,0.6,5.0
